Namespace	Id	Aktiv	Hemlig	Namn	Ansvarigt datav�rdskap	Ansvarig organisation	Ansvarig organisation e-post	Anv�ndande datav�rdskap	Media	Position N	Position E	Synonymer	EU_CD	L�nsID	Sj�-Id_SMHI_sj�register	Sj�ID_RI	VdrID_RI	�ldreProvplatsID	Kommentar
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135668	SANT	FALSKT	H�RADSSK�R	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Vatten	6434319	623018			05					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00156763	SANT	FALSKT	E2MS	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6385691	595443			08					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135434	SANT	FALSKT	H 1	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Biota	7286792	862838			25					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157663	SANT	FALSKT	S14 SYRSAN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6422345	595171	S14		08					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00156917	SANT	FALSKT	K13M	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6280046	580276			08					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157156	SANT	FALSKT	S95 / �TERL�GAFJ	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6577185	699579			01					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135727	SANT	FALSKT	RR4	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Vatten	7218224	868694								VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157014	SANT	FALSKT	S�15 / KORSFJ�RDEN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6465782	606717	"KORSFJ�RDEN; S�15"	SE646674-155958	05					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00159465	SANT	FALSKT	C / �RNSK�LDSVIKSFJ	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Vatten	7019795	688823	C		22					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00156957	SANT	FALSKT	R 9-9	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	7321854	896827			25					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135776	SANT	FALSKT	STORJUNGFRUN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Vatten	6790752	642733			21					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135589	SANT	FALSKT	3130 YTTERHOLMEN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Biota	6337048	711106	3130	SE633674-166245	09					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157689	SANT	FALSKT	MYS 6	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6535147	677183			01					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135772	SANT	FALSKT	SS29B	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Vatten	6784021	766706								VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157726	SANT	FALSKT	R 2-9	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6805600	617822			21					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157376	SANT	FALSKT	NF13	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	7053663	723882			24					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157813	SANT	FALSKT	HAN�-8	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6182021	478049			10					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00156952	SANT	FALSKT	X23 / EXT	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6793221	618196			21					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157804	SANT	FALSKT	KUD 64	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6611486	732608			01					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157414	SANT	FALSKT	H80	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	7025277	707291			22					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00156887	SANT	FALSKT	BYSKE 2	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	7216448	794364			24					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157561	SANT	FALSKT	6003 SV YTTRE KARVASEN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6511164	670347	6003		01					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157104	SANT	FALSKT	NV EKN�	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6581341	719248			01					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157296	SANT	FALSKT	S123 / N F�LLN�SVIKEN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6535658	660461			01					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157021	SANT	FALSKT	S�20 / KR�KFJ�RDEN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6512912	634999			04					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00136022	SANT	FALSKT	DJUPA R�NNAN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Vatten	6430326	275420			14					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157730	SANT	FALSKT	HANO3	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6160753	464926	3A		12					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00159426	SANT	FALSKT	KF8	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	7204539	787106	KF 8		24					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00136032	SANT	FALSKT	NK 3	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Biota	7072872	808769			24					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157574	SANT	FALSKT	Y-RI 1	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	7018155	705400			22					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135659	SANT	FALSKT	BY34	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Vatten	6395386	674963			09					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157591	SANT	FALSKT	6021 � GALTEN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6517536	663851	"6021; � GALTEN"		01					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157821	SANT	FALSKT	H44	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6910949	646071			22					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157638	SANT	FALSKT	OMNE 5	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6987292	673140			22					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157698	SANT	FALSKT	LS 7B	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	7286341	841603			25					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00159443	SANT	FALSKT	N 2B-1	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Biota	6809332	640309			21					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157356	SANT	FALSKT	MYS 1	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6548844	683889			01					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135846	SANT	FALSKT	L�S� R�NNA	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6358067	243452								VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157253	SANT	FALSKT	LDW2	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6430050	603434			05					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157796	SANT	FALSKT	4008 NO H�RADSSK�R	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6455617	623624	4008		05					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157031	SANT	FALSKT	S VAXHOLMSFJ�RDEN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6589317	690018			01					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157592	SANT	FALSKT	R 2-4	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6809229	612373			21					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135969	SANT	FALSKT	R 3-6	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Biota	6875082	630825			21					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00156897	SANT	FALSKT	U16A	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6656110	711976			01					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00156896	SANT	FALSKT	K18	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	7318976	878720			25					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135976	SANT	FALSKT	N 3-7	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Biota	6861132	635286			21					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157820	SANT	FALSKT	S LARVIK	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6503638	221054								VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157250	SANT	FALSKT	R� 2	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	7322309	840339			25					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157497	SANT	FALSKT	SI-1	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6235399	361219			12					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135888	SANT	FALSKT	HS7	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6415085	242168								VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157040	SANT	FALSKT	VIDM2	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6409923	598121			08					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157573	SANT	FALSKT	UKV4	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	7064497	763648			24					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157091	SANT	FALSKT	GRYT 7	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6458417	604844			05					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135821	SANT	FALSKT	KULLEN-3	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Vatten	6229746	332946								VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00156784	SANT	FALSKT	BF 34B	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6453672	613861	BF 34B		05					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135753	SANT	FALSKT	MS7	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Vatten	6872653	743262								VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157639	SANT	FALSKT	R 7-2	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	7276059	827659			25					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00159422	SANT	FALSKT	KF2_K�LLA-/G�SEFJ�RDEN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Biota	6214532	547233	"KF2; KF2_K�lla-/G�sefj�rden"		10					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135796	SANT	FALSKT	C4 LAHOLMSBUKTEN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Vatten	6273107	366925			13					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157760	SANT	FALSKT	NS6	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6987912	682435			22					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00156860	SANT	FALSKT	G 10	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6977680	667157	GAVIKSFJ�RDEN-EDS�TTERFJ�RDEN  G 10	SE697800-162630	22					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135363	SANT	FALSKT	SB 8	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Biota	6606674	772771		SE660565-172735	01					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157019	SANT	FALSKT	G 7	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6976870	665492			22					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157391	SANT	FALSKT	S�37 / ASK�FJ�RDEN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6523751	654617			01					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135615	SANT	FALSKT	BY19	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Vatten	6397792	808476								VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00159472	SANT	FALSKT	Wa7	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Biota	6683164	709077	Skogssk�r Garpen		01					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135804	SANT	FALSKT	SK�LDERVIKEN-2	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6248286	348620			12					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135531	SANT	FALSKT	R 8-6	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Biota	7315049	839629			25					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157295	SANT	FALSKT	KL4 KLOSTERFJORDEN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6343233	328240	KL4		13					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157504	SANT	FALSKT	GARM2	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6424236	594277			08					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157651	SANT	FALSKT	GR 2	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6697210	694154		SE669715-164983	03					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00159440	SANT	FALSKT	ML27	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Biota	6259802	582212			08					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157285	SANT	FALSKT	37 KRAMFORSFJ�RDEN SEK NAMN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6982056	644700	37		22					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135748	SANT	FALSKT	SS32B	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Vatten	6794060	632305			21					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157644	SANT	FALSKT	P300 / BAGGEN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	7259860	814646			25					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135329	SANT	FALSKT	DM 106	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Biota	6122374	380234		SE612587-132896	12					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135698	SANT	FALSKT	BORGILAFJORD	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Vatten	6461865	302213			14					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157115	SANT	FALSKT	D6	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6591090	669069			01					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157549	SANT	FALSKT	R 9-3	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	7319951	908635			25					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157319	SANT	FALSKT	BREDUNGEN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6480122	301421			14					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157673	SANT	FALSKT	OKG1-V	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6364203	601829			08					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00159450	SANT	FALSKT	TN15	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Biota	6215358	545837			10					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00156959	SANT	FALSKT	S96B / EXT KOLSTR�MM	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6577244	692452			01					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157322	SANT	FALSKT	S125C / EXT TOTTN�S	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6532701	663920			01					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135931	SANT	FALSKT	KA3	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Biota	7309784	883277			25					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135837	SANT	FALSKT	GF1	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Vatten	6386115	312161			14					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157498	SANT	FALSKT	S-4	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6248001	356857			12					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157353	SANT	FALSKT	15 KLINGERFJ�RDEN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6931865	628075	15		22					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157153	SANT	FALSKT	M5M	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6320174	591402			08					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157241	SANT	FALSKT	VD4	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	7253097	810514			25					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157373	SANT	FALSKT	B38	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	7009823	683619			22					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135628	SANT	FALSKT	441 STEVNS KLINT	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6127703	345942								VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00159421	SANT	FALSKT	KF1_K�LLA-/G�SEFJ�RDEN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Biota	6215073	548257	"KF1; KF1_K�lla-/G�sefj�rden"		10					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157810	SANT	FALSKT	N15 HALMSTAD	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6289327	343449	"HALMSTAD (N15); N15"	SE629334-129411	13					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00156838	SANT	FALSKT	N10 DEL AV N KATTEGATTS UTSJ�VATTEN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6334231	330300	N10		13					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00135422	SANT	FALSKT	C 1	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		Biota	6719014	707596			03					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00156840	SANT	FALSKT	K28 / TJ�R�	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6224797	502691			10					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157117	SANT	FALSKT	�GN�FJ�RDEN	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6574847	692830			01					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157470	SANT	FALSKT	LS 4B	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	7288374	839623			25					VAL-2018-05-14
http://stationsregister.miljodatasamverkan.se/so/ef/environmentalmonitoringfacility	00157128	SANT	FALSKT	LF 4	DV Oceanografi och marinbiologi	SMHI	shark@smhi.se		"Biota; Vatten"	6815789	616895			21					VAL-2018-05-14
